kot cat
pies dog
dom house
drzewo tree
kwiat flower
słońce sun
książka book
piłka ball
samochód car
jabłko apple
stół table
krzesło chair
okno window
drzwi door
woda water
mleko milk
kawa coffee
herbata tea
chleb bread
zegar clock
telefon phone
komputer computer
biurko desk
lampa lamp
koc blanket
buty shoes
koszulka T-shirt
spodnie pants
bluza hoodie
torba bag
plecak backpack
długopis pen
ołówek pencil
gumka eraser
nożyczki scissors
długopis pen
kredka crayon
mapa map
globus globe
lampa lamp
lampa lamp
klucz key
zamek lock
zegar clock
klej glue
papier paper
piórnik pencil case
zeszyt notebook
kwiat flower
liść leaf
deszcz rain
śnieg snow
ptak bird
ryba fish
koń horse
królik rabbit
owca sheep
krowa cow
zając hare
piesek puppy
kotek kitten
jajo egg
kura hen
kurczak chicken
koza goat
lis fox
jeż hedgehog
motyl butterfly
pszczółka bee
mucha fly
komar mosquito
mrówka ant
muchomor toadstool
trawa grass
las forest
góra mountain
rzeka river
morze sea
ocean ocean
jezioro lake
plaża beach
skała rock
piasek sand
kwarc quartz
granit granite
bursztyn amber
złoto gold
srebro silver
miedź copper
żelazo iron
drut wire
kabel cable
wtyczka plug
gniazdko socket
przewód cord
kabel cable
śrubokręt screwdriver
klucz key
śruba screw
nakrętka nut
