dom 家
kot 猫
pies 犬
krzesło 椅子
samochód 車
kwiat 花
drzwi ドア
okno 窓
stół テーブル
łóżko ベッド
chleb パン
woda 水
kawa コーヒー
herbata お茶
książka 本
telefon 電話
komputer コンピューター
samolot 飛行機
rower 自転車
telewizor テレビ
jabłko りんご
dzień 日
kotatsu コタツ
mieć 持つ
jeść 食べる
piłka ボール
pieniądze お金
noc 夜
noga 足
ręka 手
usta 口
czerwony 赤い
zielony 緑
niebieski 青い
biały 白い
czarny 黒い
mały 小さい
duży 大きい
gorący 熱い
zimny 寒い
szczęśliwy 幸せな
smutny 悲しい
zmęczony 疲れた
śpiący 眠い
wesoły 楽しい
smaczny おいしい
nudny つまらない
cicho 静かな
głośny 大声
wolny 遅い
szybki 速い
nowy 新しい
stary 古い
dobry 良い
zły 悪い
prosty 簡単な
trudny 難しい
przyjaciel 友達
rodzina 家族
matka 母
ojciec 父
dziecko 子供
siostra 姉妹
brat 兄弟
kobieta 女性
mężczyzna 男性
miłość 愛
nienawiść 憎しみ
woda 水
ogień 火
powietrze 空気
ziemia 地球
niebo 空
słońce 太陽
księżyc 月
gwiazda 星
kwiat 花
drzewo 木
trawa 草
góra 山
morze 海
rzeka 川
jezioro 湖
ptak 鳥
ryba 魚
